Call_ID,Date,Company,Call_Type,ETA_Minutes,Actual_Response_Minutes,Response_Delta_Minutes,On_Scene_Time_Minutes,Transport_Time_Minutes,Pay_Rate_Hourly,Pay_Tier,Shift_Type,Daily_Call_Volume,Performance_Rating,Is_Late,Had_Negative_Delta
C0274,3/16/2025,Senior Care Ambulance,Non-Emergency,9,21,12,18,26,20,Low ($19-21),Night,50,Good,TRUE,FALSE
C0156,6/13/2025,Hunter Ambulance,Non-Emergency,8,14,6,18,33,19.5,Low ($19-21),Day,68,Below Average,TRUE,FALSE
C0085,5/5/2025,Mount Sinai,Emergency,9,9,0,8,21,35,High ($28-35),Day,48,Poor,FALSE,FALSE
C0083,1/8/2025,Hunter Ambulance,Non-Emergency,14,37,23,18,20,19.5,Low ($19-21),Day,54,Good,TRUE,FALSE
C0262,6/28/2025,Senior Care Ambulance,Non-Emergency,6,17,11,18,45,20,Low ($19-21),Day,52,Poor,TRUE,FALSE
C0010,5/16/2025,Ambulnz,Non-Emergency,13,20,45,17,22,28,High ($28-35),Day,50,Good,TRUE,FALSE
C0043,4/26/2025,Ambulnz,Non-Emergency,13,16,3,18,15,28,High ($28-35),Night,55,Below Average,FALSE,FALSE
C0279,5/25/2025,Ambulnz,Non-Emergency,13,19,4,23,22,28,High ($28-35),Day,51,Excellent,FALSE,FALSE
C0109,2/6/2025,Citywide Ambulance,Emergency,13,27,0,19,26,22,Low ($19-21),Night,52,Fair,FALSE,TRUE
C0093,6/11/2025,AMR,Non-Emergency,7,13,6,16,38,21,Low ($19-21),Night,73,Excellent,TRUE,FALSE
C0149,1/31/2025,Mount Sinai,Emergency,9,13,4,20,44,35,High ($28-35),Night,70,Poor,FALSE,FALSE
C0212,4/6/2025,Senior Care Ambulance,Non-Emergency,7,28,21,13,38,20,Low ($19-21),Night,75,Excellent,TRUE,FALSE
C0061,4/23/2025,Senior Care Ambulance,Non-Emergency,13,21,0,12,17,20,Low ($19-21),Night,51,Good,FALSE,TRUE
C0219,4/3/2025,Mount Sinai,Emergency,7,7,0,23,21,35,High ($28-35),Day,36,Poor,FALSE,FALSE
C0263,6/30/2025,Hunter Ambulance,Non-Emergency,14,3,0,14,24,19.5,Low ($19-21),Night,46,Good,FALSE,TRUE
C0047,2/2/2025,Ambulnz,Non-Emergency,6,8,2,12,35,28,High ($28-35),Night,41,Poor,FALSE,FALSE
C0046,5/18/2025,Citywide Ambulance,Emergency,9,15,6,24,34,22,Low ($19-21),Day,41,Poor,TRUE,FALSE
C0237,5/30/2025,Mount Sinai,Emergency,13,9,0,20,31,35,High ($28-35),Day,52,Fair,FALSE,TRUE
C0229,6/30/2025,Ambulnz,Non-Emergency,11,11,0,11,36,28,High ($28-35),Day,50,Fair,FALSE,FALSE
C0133,5/26/2025,AMR,Non-Emergency,11,14,3,25,31,21,Low ($19-21),Night,43,Fair,FALSE,FALSE
C0144,3/4/2025,Citywide Ambulance,Emergency,9,22,13,9,19,22,Low ($19-21),Day,53,Excellent,TRUE,FALSE
C0168,6/2/2025,AMR,Non-Emergency,9,36,27,9,33,21,Low ($19-21),Night,60,Excellent,TRUE,FALSE
C0153,4/16/2025,Citywide Ambulance,Emergency,9,19,0,24,29,22,Low ($19-21),Day,38,Fair,FALSE,TRUE
C0094,3/21/2025,Citywide Ambulance,Non-Emergency,12,21,9,10,24,22,Low ($19-21),Day,59,Excellent,TRUE,FALSE
C0114,4/15/2025,Citywide Ambulance,Non-Emergency,11,42,31,24,26,22,Low ($19-21),Night,70,Fair,TRUE,FALSE
C0006,1/17/2025,Mount Sinai,Emergency,11,12,1,22,19,35,High ($28-35),Day,43,Poor,FALSE,FALSE
C0239,1/23/2025,Ambulnz,Non-Emergency,12,13,1,23,27,28,High ($28-35),Day,37,Excellent,FALSE,FALSE
C0252,2/27/2025,AMR,Non-Emergency,9,28,52,22,17,21,Low ($19-21),Night,63,Fair,TRUE,FALSE
C0171,2/12/2025,AMR,Non-Emergency,14,18,4,25,28,21,Low ($19-21),Night,49,Fair,FALSE,FALSE
C0187,1/18/2025,Ambulnz,Non-Emergency,8,14,6,12,44,28,High ($28-35),Night,74,Below Average,TRUE,FALSE
C0194,1/8/2025,AMR,Non-Emergency,14,16,67,23,29,21,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0034,3/27/2025,Citywide Ambulance,Non-Emergency,8,11,3,12,37,22,Low ($19-21),Night,39,Excellent,FALSE,FALSE
C0223,2/2/2025,Ambulnz,Non-Emergency,7,14,7,12,41,28,High ($28-35),Day,51,Good,TRUE,FALSE
C0217,3/29/2025,AMR,Non-Emergency,12,17,5,10,25,21,Low ($19-21),Day,74,Excellent,FALSE,FALSE
C0198,3/4/2025,Ambulnz,Non-Emergency,12,17,67,8,45,28,High ($28-35),Day,35,Good,TRUE,FALSE
C0074,5/25/2025,AMR,Non-Emergency,14,38,24,15,25,21,Low ($19-21),Night,52,Fair,TRUE,FALSE
C0183,2/24/2025,Senior Care Ambulance,Non-Emergency,10,13,3,23,40,20,Low ($19-21),Day,52,Fair,FALSE,FALSE
C0120,3/20/2025,Hunter Ambulance,Non-Emergency,12,30,18,14,33,19.5,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0155,4/12/2025,AMR,Non-Emergency,12,26,14,15,24,21,Low ($19-21),Night,40,Excellent,TRUE,FALSE
C0203,4/12/2025,Citywide Ambulance,Non-Emergency,10,30,20,20,42,22,Low ($19-21),Night,70,Below Average,TRUE,FALSE
C0205,6/15/2025,Mount Sinai,Emergency,11,9,0,9,20,35,High ($28-35),Day,62,Good,FALSE,TRUE
C0180,3/16/2025,Ambulnz,Non-Emergency,14,32,18,11,19,28,High ($28-35),Night,38,Fair,TRUE,FALSE
C0178,1/27/2025,Hunter Ambulance,Non-Emergency,9,32,23,22,23,19.5,Low ($19-21),Day,40,Good,TRUE,FALSE
C0112,6/20/2025,Citywide Ambulance,Non-Emergency,14,25,11,13,37,22,Low ($19-21),Night,75,Excellent,TRUE,FALSE
C0060,3/3/2025,AMR,Non-Emergency,12,31,52,20,27,21,Low ($19-21),Night,44,Excellent,TRUE,FALSE
C0227,2/28/2025,Hunter Ambulance,Non-Emergency,13,25,12,21,34,19.5,Low ($19-21),Night,40,Below Average,TRUE,FALSE
C0026,3/13/2025,Citywide Ambulance,Non-Emergency,10,22,12,25,25,22,Low ($19-21),Day,42,Poor,TRUE,FALSE
C0078,6/4/2025,Senior Care Ambulance,Non-Emergency,7,16,9,25,38,20,Low ($19-21),Night,62,Below Average,TRUE,FALSE
C0007,2/26/2025,Hunter Ambulance,Non-Emergency,13,19,24,11,19,19.5,Low ($19-21),Night,45,Good,TRUE,FALSE
C0176,5/24/2025,Hunter Ambulance,Non-Emergency,13,31,18,23,20,19.5,Low ($19-21),Day,52,Below Average,TRUE,FALSE
C0165,2/15/2025,Citywide Ambulance,Non-Emergency,10,29,19,15,25,22,Low ($19-21),Night,52,Good,TRUE,FALSE
C0141,4/18/2025,Citywide Ambulance,Non-Emergency,13,26,13,20,17,22,Low ($19-21),Night,69,Excellent,TRUE,FALSE
C0031,1/19/2025,Ambulnz,Non-Emergency,9,10,1,20,22,28,High ($28-35),Night,35,Good,FALSE,FALSE
C0023,1/10/2025,Citywide Ambulance,Non-Emergency,8,19,12,19,43,22,Low ($19-21),Day,57,Below Average,TRUE,FALSE
C0246,1/24/2025,Senior Care Ambulance,Non-Emergency,7,16,9,22,24,20,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0025,3/5/2025,Hunter Ambulance,Non-Emergency,7,19,7,23,22,19.5,Low ($19-21),Night,64,Below Average,TRUE,FALSE
C0057,1/24/2025,AMR,Non-Emergency,7,12,5,12,30,21,Low ($19-21),Night,53,Poor,FALSE,FALSE
C0145,3/19/2025,Citywide Ambulance,Emergency,14,28,14,9,32,22,Low ($19-21),Day,46,Good,TRUE,FALSE
C0125,5/30/2025,Citywide Ambulance,Non-Emergency,6,22,16,15,38,22,Low ($19-21),Day,72,Good,TRUE,FALSE
C0098,4/18/2025,AMR,Non-Emergency,8,19,14,23,42,21,Low ($19-21),Day,70,Good,TRUE,FALSE
C0064,6/24/2025,Mount Sinai,Emergency,8,7,0,22,23,35,High ($28-35),Night,35,Fair,FALSE,TRUE
C0018,1/31/2025,Mount Sinai,Emergency,6,9,3,24,25,35,High ($28-35),Day,48,Excellent,FALSE,FALSE
