Call_ID,Date,Company,Call_Type,ETA_Minutes,Actual_Response_Minutes,Response_Delta_Minutes,On_Scene_Time_Minutes,Transport_Time_Minutes,Pay_Rate_Hourly,Shift_Type,Daily_Call_Volume,Performance_Rating
C0274,Mar 16 2025,Senior Care Ambulance,IFT,9,21.0,12,18,26,20.0,Night,50.0,Good
C0156,06/13/2025,Hunter Ambulance,Non-Emergency,8,14.0,6,18,33,19.5,Day,68.0,Below Average
C0085,May 05 2025,Mount Sinai,Emergency,9,9.0,0,8,21,35.0,day,48.0,Poor
C0083,01/08/2025,Hunter Ambulance,IFT,14,37.0,23,18,20,19.5,day,54.0,Good
C0262,06/28/2025,Senior Care Ambulance,IFT,6,17.0,11,18,45,20.0,DAY,,Poor
C0010,2025-05-16,Ambulnz,Interfacility Transfer,13,20.0,45,17,22,28.0,Day,50.0,Good
C0043,04/26/2025,Ambulnz,Non-Emergency,13,16.0,3,18,15,28.0,night,55.0,Below Average
C0279,2025-05-25,Ambulnz,Non-Emergency,13,,4,23,22,28.0,Day,51.0,Excellent
C0109,2025-02-06,Citywide Ambulance,Emergency,13,27.0,-5,19,26,22.0,night,,Fair
C0093,Jun 11 2025,AMR,Non-Emergency,7,13.0,6,16,38,21.0,NIGHT,73.0,excellent
C0149,2025-01-31,Mount Sinai,Emergency,9,13.0,4,20,44,35.0,Night,70.0,Poor
C0212,2025-04-06,Senior Care Ambulance,non-emerg,7,28.0,21,13,38,20.0,night,75.0,excellent
C0061,04/23/2025,Senior Care Ambulance,Non-Emergency,13,21.0,-2,12,17,20.0,night,51.0,good
C0219,04/03/2025,MountSinai,Emergency,7,7.0,0,23,21,35.0,Day,36.0,Poor
C0263,Jun 30 2025,Hunter Ambulance,non-emerg,14,3.0,-11,14,24,19.5,night,46.0,Good
C0047,02/02/2025,Ambulnz,IFT,6,8.0,2,12,35,28.0,night,41.0,Poor
C0046,2025-05-18,Citywide Ambulance,Emergency,9,15.0,6,24,34,22.0,day,41.0,Poor
C0237,2025-05-30,Mount Sinai,911,13,9.0,-4,20,31,35.0,day,,Fair
C0229,06/30/2025,Ambulnz,non-emerg,11,11.0,0,11,36,28.0,Day,50.0,fair
C0133,2025-05-26,AMR,Non-Emergency,11,14.0,3,25,31,21.0,night,43.0,fair
C0144,Mar 04 2025,Citywide Ambulance,Emergency,9,22.0,13,9,19,22.0,DAY,53.0,excellent
C0168,Jun 02 2025,AMR,Interfacility Transfer,9,36.0,27,9,33,21.0,NIGHT,60.0,excellent
C0153,04/16/2025,Citywide Ambulance,Emergency,9,,-2,24,29,22.0,day,38.0,fair
C0094,2025-03-21,Citywide Ambulance,Non-Emergency,12,21.0,9,10,24,22.0,DAY,59.0,excellent
C0114,Apr 15 2025,Citywide Ambulance,Non-Emergency,11,42.0,31,24,26,22.0,Night,70.0,Fair
C0006,01/17/2025,Mount Sinai,Emergency,11,12.0,1,22,19,35.0,day,43.0,Poor
C0239,01/23/2025,Ambulnz,Non-Emergency,12,13.0,1,23,27,28.0,Day,37.0,excellent
C0252,Feb 27 2025,AMR,Non-Emergency,9,28.0,52,22,17,21.0,night,63.0,fair
C0171,2025-02-12,AMR,IFT,14,18.0,4,25,28,21.0,night,49.0,Fair
C0187,Jan 18 2025,Ambulnz,IFT,8,14.0,6,12,44,28.0,night,74.0,Below Average
C0194,Jan 08 2025,AMR,Non-Emergency,14,16.0,67,23,29,21.0,DAY,,Fair
C0034,2025-03-27,Citywide Ambulance,Non-Emergency,8,11.0,3,12,37,22.0,Night,39.0,excellent
C0223,02/02/2025,Ambulnz,Interfacility Transfer,7,14.0,7,12,41,28.0,DAY,51.0,Good
C0217,03/29/2025,AMR,Non-Emergency,12,17.0,5,10,25,21.0,DAY,74.0,Excellent
C0198,03/04/2025,Ambulnz,IFT,12,17.0,67,8,45,28.0,day,35.0,good
C0074,05/25/2025,AMR,Non-Emergency,14,38.0,24,15,25,21.0,Night,,Fair
C0183,Feb 24 2025,  Senior Care Ambulance  ,non-emerg,10,13.0,3,23,40,20.0,day,,fair
C0120,Mar 20 2025,Hunter Ambulance,Non-Emergency,12,30.0,18,14,33,19.5,day,,fair
C0155,04/12/2025,AMR,Non-Emergency,12,26.0,14,15,24,21.0,NIGHT,40.0,Excellent
C0203,2025-04-12,Citywide Ambulance,Non-Emergency,10,30.0,20,20,42,22.0,night,70.0,Below Average
C0205,Jun 15 2025,Mt Sinai,Emergency,11,9.0,-2,9,20,35.0,DAY,62.0,good
